modelo_codigo,tipo_item,posicao_ficha,codigo,nome,descricao
EXA-V03,TECNICO,7,EXA-V03-07,Ações imediatas,Avaliar reconhecimento e ações iniciais do examinando.
EXA-V03,TECNICO,8,EXA-V03-08,Aplicação da ECL,Avaliar seleção e execução da ECL aplicável.
EXA-V03,TECNICO,9,EXA-V03-09,Prioridades operacionais,Avaliar definição e manutenção das prioridades operacionais.
EXA-V03,TECNICO,10,EXA-V03-10,Controle da aeronave,Avaliar manutenção do controle e estabilidade da operação.
EXA-V03,TECNICO,11,EXA-V03-11,Coordenação PF/PM,"Avaliar coordenação, distribuição de tarefas e cross-check."
EXA-V03,TECNICO,12,EXA-V03-12,Comunicação na emergência,"Avaliar clareza, oportunidade e disciplina das comunicações."
EXA-V03,TECNICO,13,EXA-V03-13,Vigilância do examinador,Manter consciência contínua da evolução e dos riscos.
EXA-V03,TECNICO,14,EXA-V03-14,Necessidade de intervenção,Reconhecer corretamente quando a intervenção se torna necessária.
EXA-V03,TECNICO,15,EXA-V03-15,Momento da intervenção,Avaliar consequências de intervenção tardia ou inadequada.
EXA-V03,TECNICO,16,EXA-V03-16,Assunção dos controles,Intervir e assumir os controles conforme o assento aplicável.
EXA-V03,TECNICO,17,EXA-V03-17,Recuperação do cenário,Restabelecer condições seguras e encerrar adequadamente.
EXA-V03,TECNICO,18,EXA-V03-18,Debriefing e registro,Debrifar e registrar as evidências relevantes da sessão.
EXA-V03,NOTECHS,19,NOTECHS-COO-01,Formação e Manutenção da Equipe,Team Building and Maintaining
EXA-V03,NOTECHS,20,NOTECHS-COO-02,Consideração pelos Outros,Considering Others
EXA-V03,NOTECHS,21,NOTECHS-COO-03,Apoio aos Outros,Supporting Others
EXA-V03,NOTECHS,22,NOTECHS-COO-04,Resolução de Conflitos,Conflict Solving
EXA-V03,NOTECHS,23,NOTECHS-LID-05,Uso da Autoridade e Assertividade,Use of Authority and Assertiveness
EXA-V03,NOTECHS,24,NOTECHS-LID-06,Manutenção de Padrões,Maintaining Standards
EXA-V03,NOTECHS,25,NOTECHS-LID-07,Planejamento e Coordenação,Planning and Coordination
EXA-V03,NOTECHS,26,NOTECHS-LID-08,Gerenciamento da Carga de Trabalho,Workload Management
EXA-V03,NOTECHS,27,NOTECHS-CSA-09,Consciência dos Sistemas da Aeronave,Aircraft Systems Awareness
EXA-V03,NOTECHS,28,NOTECHS-CSA-10,Consciência do Ambiente Externo,Awareness of External Environment
EXA-V03,NOTECHS,29,NOTECHS-CSA-11,Consciência do Tempo,Awareness of Time
EXA-V03,NOTECHS,30,NOTECHS-TMD-12,Definição e Diagnóstico do Problema,Problem Definition and Diagnosis
EXA-V03,NOTECHS,31,NOTECHS-TMD-13,Geração de Opções,Option Generation
EXA-V03,NOTECHS,32,NOTECHS-TMD-14,Avaliação de Risco e Seleção de Opção,Risk Assessment and Option Selection
EXA-V03,NOTECHS,33,NOTECHS-TMD-15,Revisão do Resultado,Outcome Review
EXA-V04,TECNICO,1,EXA-V04-01,Planejamento do exame,Planejar integralmente a avaliação prática.
EXA-V04,TECNICO,2,EXA-V04-02,Seleção dos eventos,Selecionar eventos coerentes com os objetivos e padrões.
EXA-V04,TECNICO,3,EXA-V04-03,Preparação do cenário,"Preparar dispositivo, condições e sequência do exame."
EXA-V04,TECNICO,4,EXA-V04-04,Briefing do exame,Conduzir briefing completo e objetivo.
EXA-V04,TECNICO,5,EXA-V04-05,Responsabilidades e controles,Definir funções e procedimentos de transferência dos controles.
EXA-V04,TECNICO,6,EXA-V04-06,Condução organizada,Conduzir o exame de forma ordenada e eficiente.
EXA-V04,TECNICO,7,EXA-V04-07,Observação sem coaching,Avaliar sem orientar indevidamente o examinando.
EXA-V04,TECNICO,8,EXA-V04-08,Sequência e tempo,"Gerenciar progressão, duração e cobertura da avaliação."
EXA-V04,TECNICO,9,EXA-V04-09,Desempenho técnico,Avaliar objetivamente o desempenho técnico observado.
EXA-V04,TECNICO,10,EXA-V04-10,Aplicação dos padrões,Aplicar os mesmos critérios de forma consistente.
EXA-V04,TECNICO,11,EXA-V04-11,Treinamento insuficiente,Identificar deficiências relacionadas a treinamento inadequado.
EXA-V04,TECNICO,12,EXA-V04-12,Condições que afetam segurança,Reconhecer comportamentos ou condições que afetem a segurança.
EXA-V04,TECNICO,13,EXA-V04-13,Decisão sobre o exame,"Decidir entre continuar, repetir, interromper ou encerrar."
EXA-V04,TECNICO,14,EXA-V04-14,Medidas de segurança,Aplicar medidas de segurança conforme o assento ocupado.
EXA-V04,TECNICO,15,EXA-V04-15,Resultado interno,Determinar o resultado interno conforme o padrão da empresa.
EXA-V04,TECNICO,16,EXA-V04-16,Fundamentação do resultado,Justificar o resultado com evidências observáveis.
EXA-V04,TECNICO,17,EXA-V04-17,Debriefing final,Conduzir debriefing estruturado e objetivo.
EXA-V04,TECNICO,18,EXA-V04-18,Encerramento da ficha,Concluir os registros e assinaturas internas aplicáveis.
EXA-V04,NOTECHS,19,NOTECHS-COO-01,Formação e Manutenção da Equipe,Team Building and Maintaining
EXA-V04,NOTECHS,20,NOTECHS-COO-02,Consideração pelos Outros,Considering Others
EXA-V04,NOTECHS,21,NOTECHS-COO-03,Apoio aos Outros,Supporting Others
EXA-V04,NOTECHS,22,NOTECHS-COO-04,Resolução de Conflitos,Conflict Solving
EXA-V04,NOTECHS,23,NOTECHS-LID-05,Uso da Autoridade e Assertividade,Use of Authority and Assertiveness
EXA-V04,NOTECHS,24,NOTECHS-LID-06,Manutenção de Padrões,Maintaining Standards
EXA-V04,NOTECHS,25,NOTECHS-LID-07,Planejamento e Coordenação,Planning and Coordination
EXA-V04,NOTECHS,26,NOTECHS-LID-08,Gerenciamento da Carga de Trabalho,Workload Management
EXA-V04,NOTECHS,27,NOTECHS-CSA-09,Consciência dos Sistemas da Aeronave,Aircraft Systems Awareness
EXA-V04,NOTECHS,28,NOTECHS-CSA-10,Consciência do Ambiente Externo,Awareness of External Environment
EXA-V04,NOTECHS,29,NOTECHS-CSA-11,Consciência do Tempo,Awareness of Time
EXA-V04,NOTECHS,30,NOTECHS-TMD-12,Definição e Diagnóstico do Problema,Problem Definition and Diagnosis
EXA-V04,NOTECHS,31,NOTECHS-TMD-13,Geração de Opções,Option Generation
EXA-V04,NOTECHS,32,NOTECHS-TMD-14,Avaliação de Risco e Seleção de Opção,Risk Assessment and Option Selection
EXA-V04,NOTECHS,33,NOTECHS-TMD-15,Revisão do Resultado,Outcome Review
