aeronave_ou_escopo,manobra_codigo_atual,manobra_nome_atual,categoria,tipo_conteudo,aplicabilidade,referencia_pto,referencia_normativa,modelos_que_utilizam,quantidade_de_modelos,observacao_documental
AW139,A139-CHK-10,Monitoramento de Sistemas e Path Monitoring,VOO,PROCEDIMENTO_NORMAL,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-11,Gestão de Falha de Sistema em Rota,EME,EMERGENCIA,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-12,Chegada STAR/RNAV e Descida para Aproximação,APR,PROCEDIMENTO_NORMAL,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-13,Procedimento de Espera IFR (Holding),APR,PROCEDIMENTO_NORMAL,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-14,Aproximação Não-Precisão — RNAV ou VOR,APR,PROCEDIMENTO_NORMAL,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-15,Arremetida por Abaixo dos Mínimos (NPA),APR,PROCEDIMENTO_NORMAL,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-17,Setup e Briefing para ILS,APR,BRIEFING,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-18,Aproximação ILS — Final e Decisão na DA,APR,PROCEDIMENTO_NORMAL,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-19,Pouso no Alternado e Procedimentos Pós-Voo,APR,PROCEDIMENTO_NORMAL,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-11/12; A139-I-12/12; A139-P-04/04-CHECK,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CHK-23,Painel limitado / falha de instrumentos IFR,LOFT,EMERGENCIA,SK76,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-12/12; A139-P-04/04-CHECK,2,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CRM-20,Consciência Situacional em Voo Noturno,CRM,CRM,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-NOT-01,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-CRM-22,Comunicação Noturna — ATC e Rádio Plataforma,CRM,CRM,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-NOT-02,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-EME-01,Perfil OEI noturno,EMERGENCIA,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-06/12; A139-REQ-01,2,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-EME-02,Flare e recuperação avançada da autorrotação,EMERGENCIA,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-08/12,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-EME-02A,Gerenciamento avançado de energia e RPM em flare/recuperação,EMERGENCIA,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-I-08/12,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-EME-12,Diagnóstico: GEN 1 FAIL em Voo Noturno,EME,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-S-01/02,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-EME-13,Procedimentos Elétricos (Memória + QRH),EME,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-S-01/02,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-EME-14,Decisão com Sistema Elétrico Degradado,EME,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-S-01/02,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-EME-30,Autorotação Noturna — Área Segura,Gestão de Falhas e Emergências (EME),EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-NOT-01,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-EME-31,Black Hole Effect — Correção e Recuperação,Gestão de Falhas e Emergências (EME),EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-NOT-01,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NAV-01,Navegação FMS & convencional,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior) | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md:pages=109-111 (codigos de modelo antigos),,A139-I-05/12; A139-I-10/12; A139-P-02/04-C1; A139-P-02/04-C2; A139-P-02/04-C3; A139-S-02/02,6,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NAV-02,Uso AP & automação,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior) | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md:pages=109-111 (codigos de modelo antigos),,A139-I-04/12; A139-I-05/12; A139-I-10/12; A139-P-02/04-C1; A139-P-02/04-C2; A139-P-02/04-C3; A139-REQ-01; A139-S-02/02,8,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NAV-03,Holding pattern,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior) | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md:pages=109-111 (codigos de modelo antigos),,A139-I-05/12; A139-P-02/04-C1; A139-P-02/04-C2; A139-P-02/04-C3; A139-S-02/02,5,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NAV-04,SID & STAR,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior) | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md:pages=109-111 (codigos de modelo antigos),,A139-I-05/12; A139-P-02/04-C1; A139-P-02/04-C2; A139-S-02/02,4,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NOT-08,Configuração de Cockpit Noturno,VOO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-NOT-01,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NOT-09,Gestão de Automação Noturna,VOO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-NOT-01; A139-S-01/02,2,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NOT-10,Radar WX e TAWS à Noite,VOO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-S-01/02,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NOT-11,Path Monitoring Noturno,VOO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-NOT-01; A139-S-01/02,2,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NOT-15,Briefing de Aproximação Noturna,APR,BRIEFING,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-NOT-01; A139-S-01/02,2,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NOT-16,Arremetida por Abaixo dos Mínimos (Noturna),APR,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-NOT-01; A139-S-01/02,2,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NOT-17,Navegação para Alternado IFR,APR,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-S-01/02,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NOT-18,Aproximação no Alternado — ILS ou RNAV,APR,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-S-01/02,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NOT-19,Pouso no Alternado e Pós-Voo,APR,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-S-01/02,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NOT-26,Base e Final Noturna — Referências Externas Degradadas,Aproximação e Pouso (APR),EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-NOT-01,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NOT-27,Pouso Noturno no Helideck — Referência de Iluminação,Aproximação e Pouso (APR),NAO_CONFIRMADO,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-NOT-02,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NOT-28,Arremetida Noturna — Helideck,Aproximação e Pouso (APR),NAO_CONFIRMADO,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-NOT-02,1,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NRM-01,Procedimentos normais,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior) | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md:pages=109-111 (codigos de modelo antigos),,A139-I-01/12; A139-I-04/12; A139-I-06/12; A139-P-01/04-C3; A139-P-02/04-C1; A139-P-02/04-C2; A139-P-02/04-C3; A139-REQ-01,8,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NRM-02,Decolagens & pousos,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior) | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md:pages=109-111 (codigos de modelo antigos),,A139-I-01/12; A139-I-02/12; A139-I-04/12; A139-I-06/12; A139-I-07/12; A139-I-10/12; A139-P-01/04-C1; A139-P-01/04-C2; A139-P-01/04-C3; A139-REQ-01,10,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-NRM-03,Circuito de tráfego,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior) | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md:pages=109-111 (codigos de modelo antigos),,A139-I-01/12; A139-I-02/12; A139-P-01/04-C3,3,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-OFF-01,Performance CAT A para Helideck,PRE,BRIEFING,AW139,NAO_LOCALIZADO_NA_REVISAO_PTO_VERSIONADA | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,A139-NOT-02; A139-P-03/04-OFFSHOR,2,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
AW139,A139-OFF-01A,Navegação offshore,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior) | docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md:pages=109-111 (codigos de modelo antigos),,A139-I-02/12; A139-I-10/12; A139-NOT-02; A139-P-01/04-C1,4,Codigo e nome canonicos do snapshot 2026-07-15; usar diretamente na revisao do PTO; o changeset 2026-07-15 e parcial e nao substitui este registro.
