codigo_sessao;ordem_final;codigo_manobra;nome_manobra;fase;estado_inicial;estado_final;transicao;reset;reposicionamento;tempo_estimado;competencia;notechs;origem;justificativa
S76-NOT-01;18;S76-EST-01;Encerramento;SOL;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;1;S76-CKL-01;Checklist/Preparação;SOL;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;2;S76-TDP-00;Decolagem Classe 2 Helideck;SOL;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;3;S76-HOV-00;Hover/Táxi;SOL;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;4;S76-NVF-00;Procedimentos Normais VFR;VOO;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;5;S76-PWR-01;Potência/Torque;VOO;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;6;S76-LOFT-33;Black Hole Effect — Correção e Recuperação (SK76);EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;SUBSTITUIU OPS-NOT-X1 (posição 6) — ver 03/04;
S76-NOT-02;7;S76-LOFT-34;Pouso sem Iluminação de Helideck — Falha de Iluminação (SK76);EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;8;76-MOTCZ;Falha de Motor em Cruzeiro;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;9;S76-CKL-03;ECL Falha de Motor;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;10;S76-OEI-01;Perfil OEI Noturno;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;11;S76-XFD-20;Crossfeed;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;12;76-FALGC;Falha de Gerador DC;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;13;S76-LDP-00;Pouso Classe 2/Committal Point;APR;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;14;S76-APO-01;Aproximação Offshore;APR;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;15;S76-ARO-01;Arremetida Offshore;APR;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;16;76-AUTAG;Autorrotação para Água;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;17;S76-DIT-71;Ditching com Potência;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
S76-NOT-02;18;S76-FLU-01;Flutuabilidade/Evacuação;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
SK76-S-01/02;1;S76-CKL-01;Checklist/Preparação;SOL;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
SK76-S-01/02;2;S76-NVF-00;Procedimentos Normais VFR;VOO;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
SK76-S-01/02;3;S76-HOV-00;Hover/Táxi;SOL;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
SK76-S-01/02;4;S76-DNR-01;Decolagem Normal Noturna;SOL;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
SK76-S-01/02;5;S76-SUB-01;Subida Controlada Noturna;VOO;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
SK76-S-01/02;6;S76-PWR-01;Potência/Torque;VOO;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
SK76-S-01/02;7;S76-NDL-00;Circuito Padrão Noturno;VOO;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
SK76-S-01/02;8;S76-LOFT-23;Briefing Noturno — Ilusões Visuais e Black Hole (SK76);PRE;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;"MANTIDO (ADICIONADO pela composicao Sonnet anterior; reordenado nesta missao para posicao imediatamente anterior a S76-LOFT-33, corrigindo inversao briefing-depois-da-execucao)";
SK76-S-01/02;9;S76-LOFT-31;Circuito Completo Noturno — Variação de Vento (SK76);VOO;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
SK76-S-01/02;10;76-MOTCZ;Falha de Motor em Cruzeiro;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
SK76-S-01/02;11;S76-LOFT-33;Black Hole Effect — Correção e Recuperação (SK76);EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (ADICIONADO pela composicao Sonnet anterior);
SK76-S-01/02;12;S76-OEI-01;Perfil OEI Noturno;EME;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
SK76-S-01/02;13;S76-LOFT-28;Base e Final Noturna — Referências Externas Degradadas (SK76);APR;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
SK76-S-01/02;14;S76-ILS-00;Aproximação IFR/ILS Noturna;APR;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;REINTRODUZIDO nesta missao (REMOVER_E_REORDENAR) — ver 03/04;
SK76-S-01/02;15;S76-ARN-01;Arremetida Noturna;APR;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
SK76-S-01/02;16;S76-APN-01;Aproximação Normal Noturna;APR;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
SK76-S-01/02;17;S76-PNO-01;Pouso Normal Noturno;APR;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
SK76-S-01/02;18;S76-EST-01;Encerramento;SOL;;;NATURAL_COM_CONFIGURACAO;NAO;NAO;;;;MANTIDO (RAW/composicao Sonnet anterior, sem alteracao nesta missao);
