codigo_sessao;status_anterior;status_final;acao;motivo;risco;confianca;fonte_decisao
A139-P-01/04-C2;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;PRESERVAR_SEM_ALTERACAO;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-P-01/04-C3;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;PRESERVAR_SEM_ALTERACAO;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-P-02/04-C1;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;PRESERVAR_SEM_ALTERACAO;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-P-02/04-C2;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;PRESERVAR_SEM_ALTERACAO;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-P-02/04-C3;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;PRESERVAR_SEM_ALTERACAO;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-P-03/04-OFFSHOR;REDESENHO;REDESENHO;IMPLEMENTAR;composicao tecnica redesenhada (ver 12_MATRIZ e 01A/01B/04/05/08);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-P-04/04-CHECK;AJUSTE_PONTUAL;AJUSTE_PONTUAL;BLOQUEAR_TEMPORARIAMENTE;ajuste de nome/descricao/duracao ou pequena adicao/substituicao (ver 01A/01B);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-REQ-01;AJUSTE_PONTUAL;AJUSTE_PONTUAL;IMPLEMENTAR;ajuste de nome/descricao/duracao ou pequena adicao/substituicao (ver 01A/01B);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-S-01/02;REDESENHO;REDESENHO;IMPLEMENTAR;composicao tecnica redesenhada (ver 12_MATRIZ e 01A/01B/04/05/08);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
A139-S-02/02;AJUSTE_PONTUAL;AJUSTE_PONTUAL;IMPLEMENTAR;ajuste de nome/descricao/duracao ou pequena adicao/substituicao (ver 01A/01B);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
EXA-01/02;EVIDENCIA_INSUFICIENTE;EVIDENCIA_INSUFICIENTE;BLOQUEAR_TEMPORARIAMENTE;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
EXA-02/02;EVIDENCIA_INSUFICIENTE;EVIDENCIA_INSUFICIENTE;BLOQUEAR_TEMPORARIAMENTE;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
PILOT-MODELO-001;BLOQUEIO_PONTUAL;BLOQUEIO_PONTUAL;EXCLUIR_DO_ESCOPO;nenhuma -- stub sem conteudo;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
S76-NOT-01;AJUSTE_PONTUAL;AJUSTE_PONTUAL;IMPLEMENTAR;OPS-NOT-X1 (posicao 7) substituido por S76-LOFT-33 (mesma posicao, mesmos 18 itens, mesma duracao) — resolve tag cross-fleet e item sub-especificado. Nota de adaptacao onshore/helideck a registrar em observacoes do vinculo, nao bloqueante.;BAIXO;ALTA;"03_DECISAO_FINAL_OPS_NOT_X1.csv; 04_OVERLAY_CURRICULAR_OPS_NOT_X1.csv"
S76-NOT-02;REDESENHO;REDESENHO;IMPLEMENTAR;OPS-NOT-X1 (posicao 6) substituido por S76-LOFT-33 (mesma posicao, mesmos 18 itens, S76-LOFT-34 intocado). Risco MEDIO (6 sessoes reais + 1 qualificacao emitida, 0 checks formais) exige nota de rastreabilidade/changelog concreta na implementacao, nao bloqueia.;MEDIO;ALTA;"03_DECISAO_FINAL_OPS_NOT_X1.csv; 04_OVERLAY_CURRICULAR_OPS_NOT_X1.csv"
S76-P-01/04-C1;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;IMPLEMENTAR;correcao documental explicita (descricao);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
S76-P-01/04-C2;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;IMPLEMENTAR;correcao documental explicita (descricao);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
S76-P-01/04-C3;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;IMPLEMENTAR;correcao documental explicita (descricao);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
S76-P-02/04-C1;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;IMPLEMENTAR;correcao documental explicita (descricao);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
S76-P-02/04-C2;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;IMPLEMENTAR;correcao documental explicita (descricao);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
S76-P-02/04-C3;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;IMPLEMENTAR;correcao documental explicita (descricao);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
S76-REQ-01;AJUSTE_PONTUAL;AJUSTE_PONTUAL;IMPLEMENTAR;ajuste de nome/descricao/duracao ou pequena adicao/substituicao (ver 01A/01B);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
SK76-I-01/12;AJUSTE_PONTUAL;AJUSTE_PONTUAL;IMPLEMENTAR;ajuste de nome/descricao/duracao ou pequena adicao/substituicao (ver 01A/01B);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
SK76-I-02/12;AJUSTE_PONTUAL;AJUSTE_PONTUAL;IMPLEMENTAR;ajuste de nome/descricao/duracao ou pequena adicao/substituicao (ver 01A/01B);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
SK76-I-03/12;AJUSTE_PONTUAL;AJUSTE_PONTUAL;IMPLEMENTAR;ajuste de nome/descricao/duracao ou pequena adicao/substituicao (ver 01A/01B);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
SK76-I-04/12;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;PRESERVAR_SEM_ALTERACAO;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
SK76-I-05/12;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;PRESERVAR_SEM_ALTERACAO;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
SK76-I-06/12;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;PRESERVAR_SEM_ALTERACAO;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
SK76-I-07/12;AJUSTE_PONTUAL;AJUSTE_PONTUAL;IMPLEMENTAR;ajuste de nome/descricao/duracao ou pequena adicao/substituicao (ver 01A/01B);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
SK76-I-08/12;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;PRESERVAR_SEM_ALTERACAO;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
SK76-I-09/12;MANTER_JUSTIFICADO;MANTER_JUSTIFICADO;PRESERVAR_SEM_ALTERACAO;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
SK76-I-10/12;AJUSTE_PONTUAL;AJUSTE_PONTUAL;IMPLEMENTAR;ajuste de nome/descricao/duracao ou pequena adicao/substituicao (ver 01A/01B);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
SK76-I-11/12;REDESENHO;REDESENHO;IMPLEMENTAR;composicao tecnica redesenhada (ver 12_MATRIZ e 01A/01B/04/05/08);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
SK76-I-12/12;REDESENHO;REDESENHO;IMPLEMENTAR;composicao tecnica redesenhada (ver 12_MATRIZ e 01A/01B/04/05/08);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
SK76-P-CHECK;REDESENHO;REDESENHO;IMPLEMENTAR;composicao tecnica redesenhada (ver 12_MATRIZ e 01A/01B/04/05/08);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
SK76-S-01/02;REDESENHO;REDESENHO;IMPLEMENTAR;"OPS-NOT-X1 (posicao 8) removido por redundancia confirmada com S76-LOFT-23/33 ja adicionados pela composicao Sonnet anterior; S76-ILS-00 reintroduzido (posicao 17) para preservar 18 itens e cobertura instrumental. Nunca usada (risco BAIXO).";BAIXO;"ALTA (redundancia); MEDIA (escolha do item reintroduzido)";"03_DECISAO_FINAL_OPS_NOT_X1.csv; 04_OVERLAY_CURRICULAR_OPS_NOT_X1.csv; 05_ORDEM_FINAL_SESSOES_AFETADAS.csv"
SK76-S-02/02;REDESENHO;REDESENHO;IMPLEMENTAR;composicao tecnica redesenhada (ver 12_MATRIZ e 01A/01B/04/05/08);(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
TRE-INST;EVIDENCIA_INSUFICIENTE;EVIDENCIA_INSUFICIENTE;BLOQUEAR_TEMPORARIAMENTE;nenhuma;(ver escopo hardened V1);(ver escopo hardened V1);IMPLEMENTATION_SCOPE_HARDENED.csv (inalterado nesta missao pontual)
